sweep,value,case_id,CL,CD,CMy,CFx,F_AD_delivered_N,physical_step,pseudo_step
alpha,-3.0,case-62103e52-7956-4c52-851f-bc8b1d055dd5,-0.0193485466540295,0.0454965712451081,0.268681988249236,0.0454965712451081,518.5201087698179,29,0
alpha,-1.0,case-8e472bfc-088d-4bb3-814b-d27e06c16b37,0.160837596301626,0.0451680356616835,0.190593462272822,0.0451680356616835,518.5201087698179,29,0
alpha,1.0,case-ffb614ea-6fca-4c4e-9b8a-fa0a51a0c3be,0.339576448120388,0.0481878997476635,0.121325262256162,0.0481878997476635,518.5201087698179,29,0
alpha,3.0,case-18446df1-d5e4-4286-bccd-05a6db158d72,0.515610989226378,0.0544900505795073,0.063765764062502,0.0544900505795073,518.5201087698179,29,0
alpha,5.0,case-6a5e5853-8240-44b9-9209-ef9cc5d9d4c0,0.689911938203735,0.0639779292321789,0.0085256848182525,0.0639779292321789,518.5201087698179,29,0
alpha,7.0,case-7d14b0ab-9b80-443c-894a-037b4a77aec2,0.867578125766638,0.0768286841606189,-0.0616258280114409,0.0768286841606188,518.5201087698179,29,0
alpha,9.0,case-fe9b2fbc-db6b-49f4-b1e9-c1e825c3a756,1.04698716253682,0.093250844928578,-0.148005863778029,0.093250844928578,518.5201087698179,29,0
alpha,11.0,case-2e247116-c66e-407f-8605-d1e6d75d68ad,1.22029866577452,0.113098264422471,-0.243069521170861,0.113098264422471,518.5201087698179,29,0
alpha,13.0,case-a6fc399f-de8d-419a-b98c-8589b3d69a50,1.35446937728345,0.135611176540462,-0.355605982830423,0.135611176540462,518.5201087698179,29,0
alpha,15.0,case-0376a381-07bb-4b52-8497-ccc2130f1364,1.42935718390188,0.158133795996155,-0.445260095249429,0.158133795996155,518.5201087698179,29,0
htail,-12.0,case-c09282c9-caa2-4e95-a651-efa1f324c813,0.690044894449871,0.0780456928870532,0.516412150961876,0.0780456928870532,518.5201087698179,29,0
htail,-9.0,case-7dbd5a59-59a2-4138-adcb-b99f06c08998,0.730619790452625,0.0756606560395325,0.385568935058665,0.0756606560395325,518.5201087698179,29,0
htail,-6.0,case-7f77be58-8680-4fee-b412-a9cff1bed42a,0.774451994852037,0.0745866406754881,0.24325515141124,0.0745866406754881,518.5201087698179,29,0
htail,-3.0,case-c1320127-c38b-42f8-b699-d313bbf90041,0.820287492845672,0.0749307306823485,0.0936078456716529,0.0749307306823484,518.5201087698179,29,0
htail,0.0,case-70e450cd-5e5f-4b82-9f68-f3fedbc22bff,0.867578130778618,0.0768286856981078,-0.0616258294714249,0.0768286856981078,518.5201087698179,29,0
htail,3.0,case-55dcf454-de8c-4c4d-9a16-47ca6609f8f8,0.91613302972822,0.0803680336073667,-0.221899360711584,0.0803680336073667,518.5201087698179,29,0
htail,6.0,case-0aeb2041-21cc-478b-a003-5923478d04f2,0.964475473451869,0.0855360616366792,-0.382375935139889,0.0855360616366792,518.5201087698179,29,0
htail,9.0,case-8eefccb9-8608-48a8-8039-e177fca0e5a3,1.01073575881077,0.0922389735599552,-0.536864111089172,0.0922389735599552,518.5201087698179,29,0
htail,12.0,case-c704699b-b68d-40f4-8f58-1a28e826862c,1.05102315993382,0.100137291885687,-0.672736911793044,0.100137291885687,518.5201087698179,29,0
htail,15.0,case-ad90944f-f90b-49d7-8940-03292de13ed6,1.06137253932546,0.11158349393043,-0.715734345425491,0.11158349393043,518.5201087698179,29,0
thrust,0.0,case-d820f45a-3d8f-40ae-970c-3d50f24d89be,0.857639148687492,0.0713566015088522,-0.0646840631918212,0.0713566015088522,0.0518520108769867,29,0
thrust,0.25,case-59db849a-1bb5-4275-92c0-226ca2a6a12d,0.860231173633419,0.0727317673163985,-0.0639403243562914,0.0727317673163985,129.63002719243414,29,0
thrust,0.5,case-c8d05bc2-fdb6-4662-84b1-bbae3a4a8f03,0.862747868847581,0.0741018748805169,-0.0631830666758057,0.0741018748805169,259.2600543849044,29,0
thrust,0.75,case-b06cd35b-5284-4f4b-bec4-001b718eb63c,0.865193869147518,0.0754667774721103,-0.0624111066522389,0.0754667774721103,388.89008157736566,29,0
thrust,1.0,case-70e450cd-5e5f-4b82-9f68-f3fedbc22bff,0.867578130778618,0.0768286856981078,-0.0616258294714249,0.0768286856981078,518.5201087698179,29,0
thrust,1.25,case-9f8fcda4-1a44-4301-9ad0-b83064a0150d,0.869890712981452,0.0781800922045253,-0.0608263327592669,0.0781800922045253,648.150135962297,29,0
thrust,1.5,case-096eb33a-3482-4c1a-8253-6f5ce771209d,0.872147759375918,0.0795294874710818,-0.0600213295891964,0.0795294874710818,777.7801631547493,29,0
thrust,2.0,case-5d110a48-b757-4916-95e7-d0b49680fed4,0.876483898542346,0.0822089292866486,-0.0583538095212953,0.0822089292866486,1037.0402175396898,29,0
thrust,2.5,case-c24fcad9-d5ec-47da-902a-8d66de570bd0,0.880572453765363,0.0848577519580663,-0.056608622667797,0.0848577519580663,1296.3002719246392,29,0
thrust,3.0,case-2f5c1360-8755-4b45-97c4-852d79930a82,0.884432375982597,0.0874779021112258,-0.0547847804166196,0.0874779021112258,1555.5603263095527,29,0
