sweep,value,case_id,CL,CD,CMy,CFx,F_AD_delivered_N,physical_step,pseudo_step
alpha,-2.0,case-39c636c5-5ed4-4dac-a880-887146d1cd1b,9.88176172361305,3.63510247483374,0.238991561254682,3.63510247483374,6487.132605630441,51,499
alpha,2.0,case-df7d12cc-8d38-4221-bc90-7709a5de0898,10.710419135903,4.54336879351165,0.337159333877138,4.54336879351165,6487.132605630441,51,499
alpha,5.0,case-534921c3-4a74-46b5-8dda-0e1af71d4f6d,11.1459726023733,5.19990777198228,0.443485862650947,5.19990777198228,6487.132605630441,51,499
alpha,8.0,case-6a0e2ecd-fcda-412a-b5d2-f1c43bb42a96,11.382357431342,5.77944410037728,0.530528745031921,5.77944410037728,6487.132605630441,51,499
alpha,11.0,case-f25203ae-77e7-4cf2-8f35-478adb95822d,11.4267739410263,6.25510585674399,0.56504161499849,6.25510585674399,6487.132605630441,51,67
alpha,14.0,case-8f5e969f-1e2e-44fa-9695-22a0a5fa40c7,11.3791203511032,6.66039403325696,0.580086119227353,6.66039403325696,6487.132605630441,51,0
alpha,17.0,case-05f6b831-33ae-4f58-baaf-08ffd224a4c7,11.2376740892615,6.99003166287441,0.559808043427944,6.99003166287441,6487.132605630441,51,499
htail,-10.0,case-39abf737-b29f-4332-99d5-ab29b5257bf2,13.6357704264684,7.88045396868029,1.23525250851867,7.88045396868029,7029.107334954377,45,499
htail,-6.0,case-fed9edf1-681b-49fa-b4e9-c0513aaf987a,13.6677035756694,7.85089325705172,1.24569599335929,7.85089325705172,7029.107334954368,19,999
htail,0.0,case-e06f2fad-a56d-4f94-9be2-8591af07b3e2,13.6551089654837,7.7798630210038,1.38154216828926,7.7798630210038,7029.107334954377,45,499
htail,10.0,case-dd6d1f20-eb82-4cd3-a84e-8f9ab0431137,13.6681223118663,7.70247057185891,1.42569072346246,7.70247057185891,7029.107334954368,45,499
htail,15.0,case-1f31d69e-b590-4c1f-8746-c3467b3b4e58,13.7799058767744,7.73305185507048,1.08573117400084,7.73305185507048,7029.107334954368,45,499
htail,20.0,case-b8a7f63a-627e-4030-a850-94c77980d8c1,13.9114075689501,7.79287278356764,0.66596013113187,7.79287278356764,7029.107334954377,45,499
htail,25.0,case-e574996e-c559-4690-b49a-9d16cc1ebc9c,14.027408949804,7.8454306359305,0.215607413605869,7.8454306359305,7029.107334954368,45,499
htail,30.0,case-60004125-a27f-4f1d-8c01-963edd25fff1,14.1571002641469,7.92086742363206,-0.241799611340646,7.92086742363206,7029.107334954368,45,499
htail,35.0,case-cfe4d654-7a4d-4efe-bb69-afabc73e7c50,14.2963639343986,8.01864848978351,-0.681475354961481,8.01864848978351,7029.107334954368,45,499
htail,40.0,case-8708f424-66fc-480a-bd4f-dbaadf4b006b,14.4051185965165,8.11136402311108,-1.09628311502016,8.11136402311108,7029.107334954368,45,499
htail,50.0,case-0c69ed66-46bd-474f-8c5b-45dae0808d9e,14.4242719898855,8.21057680724195,-1.2536001917933,8.21057680724195,7029.107334954368,45,499
thrust,4.0,case-0a798775-bcb4-4cc5-817b-685c9794a10a,8.50255626402564,3.73495891386964,1.78180956300805,3.73495891386964,2343.035778318096,45,4
thrust,7.0,case-3a024fd9-03b6-488c-83d3-a82f9db98e3f,10.6993338535174,5.45250061103963,1.58775805137262,5.45250061103963,4100.3126120566885,45,499
thrust,10.0,case-efe1b3f9-a493-4d4f-99b8-984ee8528ea9,12.5555203784996,6.95706603249006,1.37406863353549,6.95706603249006,5857.58944579528,45,499
thrust,12.0,case-fed9edf1-681b-49fa-b4e9-c0513aaf987a,13.6677035756694,7.85089325705172,1.24569599335929,7.85089325705172,7029.107334954368,19,999
thrust,14.0,case-f84530b3-6e4b-4ab2-a832-4771aae1822c,14.7390769061003,8.71464120015225,1.1204527504381,8.71464120015225,8200.62522411343,45,499
thrust,16.0,case-3c26f654-347d-482d-be1c-a03c4468c1f2,15.7956189538671,9.55500067109621,0.995218611484322,9.55500067109621,9372.143113272527,45,499
thrust,18.0,case-010c5da7-65ea-4da7-bcf5-934be80e522a,16.8172609436351,10.3696896179672,0.891967375949026,10.3696896179672,10543.661002431589,45,499
thrust,21.0,case-cb363951-64a1-4f9c-b445-f9627ab22423,18.3169907586109,11.5799271402526,0.726991415450218,11.5799271402526,12300.937836170198,45,499
thrust,25.0,case-2d0c0737-c507-4d84-983d-9f251b477ad7,20.2511450789972,13.1345726203351,0.525940949441809,13.1345726203351,14643.97361448833,45,499
thrust,30.0,case-d1077fe0-7c79-47cc-8a05-d1049285132b,22.5905169588155,15.023799181573,0.273853217919784,15.023799181573,17572.768337385984,45,499
