sweep,value,case_id,CL,CD,CMy,CFx,F_AD_delivered_N,physical_step,pseudo_step
alpha,-2.0,case-730ff2b2-0529-4d79-9a60-35f9b11f9ee0,4.96122016860235,1.1511311318402,0.144003169467203,1.1511311318402,8649.510140840588,51,499
alpha,2.0,case-183f103a-db57-4432-92f8-20286211aeff,5.87817552977044,1.5934427932247,0.118792003027751,1.5934427932247,8649.510140840588,51,0
alpha,5.0,case-70e2dd47-5741-4374-83c1-8a52062e9f96,6.4767918363405,1.95917878325994,0.104020675083665,1.95917878325994,8649.510140840588,51,0
alpha,8.0,case-1d0ed9a5-91fa-4546-8030-85127219a1aa,7.01691507965243,2.34935760322607,0.0868636604866803,2.34935760322607,8649.510140840588,51,0
alpha,11.0,case-fa70a008-4cab-4234-baea-bf27b52804bf,7.49088301101914,2.75595936928451,0.0683755571272455,2.75595936928451,8649.510140840588,51,0
alpha,14.0,case-ca8ffd51-ecb4-4d29-b133-48604b2dd0c3,7.85711738522031,3.15851963716388,0.0380393139098062,3.15851963716388,8649.510140840603,51,0
alpha,17.0,case-4a7c3005-77fe-450f-ae99-f158828d7885,8.03494406541866,3.49959211947075,-0.0200519421693293,3.49959211947074,8649.510140840588,51,0
alpha,20.0,case-926926a3-81dd-4419-aa3f-d97f064c7d92,8.08445225504307,3.806225309942,-0.205007740376969,3.806225309942,8649.510140840588,51,499
alpha,25.0,case-e786acf3-0196-4cf1-a6b3-a1384a117e15,7.74440340762161,4.1419446094074,-0.486745087400249,4.1419446094074,8649.510140840588,51,499
alpha,30.0,case-1684775d-0411-4ce8-ad70-e3b803967b2e,7.44036137625024,4.42261078157278,-0.943208300192501,4.42261078157278,8649.510140840588,51,499
htail,-15.0,case-d1419e53-b81d-431e-9cf5-cf3b71967593,8.01931690070101,3.13480777260407,1.09054784436277,3.13480777260407,9370.611887106917,45,0
htail,-10.0,case-cb26521c-20fc-428d-a6e2-6eece28b084b,8.00036116894382,3.09446960388734,1.21728557002279,3.09446960388734,9370.611887106917,45,0
htail,-5.0,case-118aced8-e380-45a5-b374-04a303f1802a,8.00448423966104,3.06104104644746,1.24088530935175,3.06104104644746,9370.611887106917,19,0
htail,0.0,case-e2708773-8fbc-49ec-985c-be74dc980065,8.09019118005377,3.05856245412497,0.968113075983539,3.05856245412497,9370.611887106917,45,72
htail,5.0,case-61006241-3051-49fe-a2c0-db98274e353a,8.20821723910288,3.07809093655218,0.577196224800963,3.07809093655218,9370.611887106917,45,0
htail,10.0,case-879ae2eb-4f73-452a-8e2e-fbf62eb840ec,8.34449774785442,3.11239690971483,0.120685936448324,3.11239690971483,9370.611887106917,45,0
htail,15.0,case-91f43738-d65a-4e85-8bdd-bcd0d0551f7e,8.48320707689161,3.15666047524075,-0.345219594695372,3.15666047524075,9370.611887106917,45,0
htail,20.0,case-c688177d-245a-472b-b786-b55a12b4bcc6,8.62027979843112,3.20980792140561,-0.806486381349445,3.20980792140561,9370.611887106917,45,0
htail,25.0,case-a0020ec0-846a-4148-8598-1a9a080e7f54,8.752732598541,3.27091331725326,-1.25366177384982,3.27091331725326,9370.611887106917,45,0
htail,30.0,case-75011804-b973-4a06-a354-271f14b144e0,8.86875000240062,3.33443897362159,-1.64696034224774,3.33443897362159,9370.611887106917,45,0
thrust,6.0,case-ae12056a-0be1-4a8d-b04e-f5d9dfd6ba95,5.55358053239563,1.6668265359266,1.34698090715774,1.6668265359266,3513.9794576650525,45,0
thrust,9.0,case-a668891c-503e-44af-b0c3-92e98af6669c,6.37972966999215,2.12637538640425,1.35531976760536,2.12637538640425,5270.969186497592,45,0
thrust,12.0,case-fc4cdebc-f9b1-485f-84af-a6d8edd8070d,7.10599343275649,2.54176798457665,1.32666640253296,2.54176798457665,7027.9589153301495,45,0
thrust,14.0,case-99f54b8a-7212-4e7e-a58f-650b256da5b2,7.56235455783433,2.80507201192594,1.28945452739465,2.80507201192594,8199.285401218525,45,0
thrust,16.0,case-118aced8-e380-45a5-b374-04a303f1802a,8.00448423966104,3.06104104644746,1.24088530935175,3.06104104644746,9370.611887106917,19,0
thrust,18.0,case-807609eb-ce17-47e3-8a9a-673cd469db99,8.43738744806462,3.31148546034748,1.18551492135443,3.31148546034748,10541.938372995292,45,0
thrust,20.0,case-6c63626d-b85e-4b3c-99fd-7396f04986c8,8.86242932164007,3.5577717509978,1.11958862421546,3.5577717509978,11713.264858883658,45,0
thrust,22.0,case-20003ef9-ddc3-4772-9536-de867b11e832,9.27917950475606,3.79841165626636,1.04434054810927,3.79841165626636,12884.591344772023,45,0
thrust,25.0,case-ca8e4f30-7a1e-4185-ba13-8d8a63ca9619,9.9351692876673,4.16324865904245,1.06843672081361,4.16324865904245,14641.58107360459,45,0
thrust,30.0,case-58ef4498-23a8-4f6a-b57e-939374ac2ff1,10.9092528225176,4.7270884358526,0.736036503500112,4.7270884358526,17569.897288325476,45,499
