sweep,value,case_id,CL,CD,CMy,CFx,F_AD_delivered_N,physical_step,pseudo_step
alpha,-2.0,case-f523f63d-06f8-48fa-89a3-6c197444941e,10.1386490919332,3.97775128169393,1.19091765111945,3.97775128169393,4470.117195314133,45,499
alpha,2.0,case-898b2074-525e-4fe2-883b-cbae5a9c878f,10.9477358196264,4.89051880001464,1.31339773397774,4.89051880001464,4470.117195314133,45,499
alpha,5.0,case-54f70d97-7224-4c03-909a-0d718a41a6b6,11.3835516449204,5.58060038219165,1.42988215695309,5.58060038219165,4470.117195314133,45,499
alpha,8.0,case-54f6aae3-cde4-4043-9527-130ab5b77708,11.5718515341764,6.15800136267701,1.53388636002944,6.15800136267701,4470.117195314133,19,999
alpha,11.0,case-32a39940-3e36-4b79-9cd5-fa8aad1691f9,11.5743382988933,6.67045052528885,1.62833372731009,6.67045052528885,4470.117195314133,45,499
alpha,14.0,case-af1439a4-6c73-4cbb-8f27-bbe33dc63652,11.575505848534,7.07987536552582,1.80964289496022,7.07987536552582,4470.117195314133,45,499
alpha,17.0,case-e1b337c0-755c-4fee-8740-76dd9b1e463d,11.3210371452553,7.40862537764728,1.86956979870259,7.40862537764728,4470.117195314133,45,499
alpha,20.0,case-4495d3af-2e9f-4c83-835d-d1003a4ba495,11.1016661914792,7.57836251098822,1.99463212052157,7.57836251098822,4470.117195314133,45,499
alpha,25.0,case-a2ea624d-be06-4890-9326-0e539eb145a9,10.1920198849461,7.51444083720733,2.02473649897783,7.51444083720733,4470.117195314133,45,499
alpha,30.0,case-31a8a608-2604-4ec7-830b-4d58f65aa400,9.09918019806923,7.24800564662107,1.75865013227061,7.24800564662107,4470.117195314133,45,499
htail,-10.0,case-16d277c4-7053-49cb-bcbb-16a40b8ca6dd,11.5797482555741,6.18369280938224,1.48560355598296,6.18369280938224,4470.117195314133,45,499
htail,-6.0,case-54f6aae3-cde4-4043-9527-130ab5b77708,11.5718515341764,6.15800136267701,1.53388636002944,6.15800136267701,4470.117195314133,19,999
htail,0.0,case-bbf7f5a5-61c9-4986-b1cd-f802ee1989f9,11.6318038937424,6.13746088507381,1.31026320302653,6.13746088507381,4470.117195314133,45,499
htail,10.0,case-594e3358-c59d-4e16-8bb6-f204cfcc2532,11.8937013195512,6.18531527909776,0.543987321823972,6.18531527909776,4470.117195314133,45,499
htail,15.0,case-f1a9932e-dbfd-4a3a-b319-8b8d83b1b067,12.0322187077132,6.23801099261937,0.129629008356285,6.23801099261937,4470.117195314133,45,499
htail,20.0,case-6a9e2cc8-a481-4fc6-8041-ec3de4d4f7e3,12.1126569394401,6.25244052232643,-0.282299392484513,6.25244052232643,4470.117195314133,45,499
htail,25.0,case-b4c606de-8edf-4772-9fe1-187da6650ada,12.2197071905658,6.30039959216792,-0.668281397615595,6.30039959216792,4470.117195314133,45,499
htail,30.0,case-7a138ae3-1baa-44bb-9158-58bb330729b3,12.3365076456477,6.37303702702453,-1.00722113640134,6.37303702702453,4470.117195314133,45,499
htail,35.0,case-09e0bbab-a10a-4907-98d4-a17782366b68,12.409168877871,6.44009835680844,-1.15716694782564,6.44009835680844,4470.117195314133,45,499
htail,40.0,case-da0072d8-0ae8-4280-8a7b-60a2aef71f6b,12.2889416409661,6.42666944536733,-0.857548118232253,6.42666944536733,4470.117195314133,45,499
htail,50.0,case-f5782377-e591-41af-989e-5bce3a60d1c0,12.1909114220903,6.45868701470392,-0.651864641565515,6.45868701470392,4470.117195314133,45,499
thrust,4.0,case-e204721a-a4c2-45d9-8a95-50d379e1b6bb,7.49136062942148,2.97008887364864,1.67856058929011,2.97008887364864,1490.0390651046991,45,4
thrust,7.0,case-9d8065c7-e6ad-46f6-93dd-6c3dff2a3fbf,9.23430952887629,4.30095683491741,1.71138140276448,4.30095683491741,2607.568363933248,45,499
thrust,10.0,case-46bebb81-1488-4666-9bf1-d0ad1e82ab67,10.7352590683347,5.46558601496962,1.62125969721746,5.46558601496962,3725.0976627617606,45,499
thrust,12.0,case-54f6aae3-cde4-4043-9527-130ab5b77708,11.5718515341764,6.15800136267701,1.53388636002944,6.15800136267701,4470.117195314133,19,999
thrust,14.0,case-47caac70-9165-4d19-b314-f3542a0203d5,12.4705787657347,6.85300668475444,1.45521264914895,6.85300668475444,5215.136727866515,45,499
thrust,16.0,case-591ebfea-7c63-4589-8628-d3ab61c05258,13.2741593761579,7.49157073146271,1.36757616068867,7.49157073146271,5960.1562604188675,45,499
thrust,18.0,case-bc462646-1ad4-478e-bd33-3186f7687f45,14.0734776516106,8.12998077840654,1.27111189376642,8.12998077840654,6705.175792971241,45,499
thrust,21.0,case-29482713-88c6-4519-a281-b208ac7bacb5,15.187241338567,9.01295677641498,1.12223551823066,9.01295677641498,7822.705091799798,45,499
thrust,25.0,case-a33b9929-7718-40d6-b492-da8dd5b17cee,16.6846331544649,10.1983745081444,0.917446146384511,10.1983745081443,9312.744156904562,45,499
thrust,30.0,case-232c6bac-c5eb-4213-9231-a47ddf959a4b,18.4667044851253,11.6093757587964,0.67034940458404,11.6093757587964,11175.29298828548,45,499
