sweep,value,case_id,CL,CD,CMy,CFx,F_AD_delivered_N,physical_step,pseudo_step
alpha,-2.0,case-5681b771-0cfc-4d29-bbd8-9bd173fc873c,4.9982262123141,1.28891250804919,1.03910547700486,1.28891250804919,5959.533629968167,45,499
alpha,2.0,case-bcb6d461-a70f-4b2f-a9a9-73cc61a709ec,5.90691464125659,1.72672884403786,1.03240021078819,1.72672884403786,5959.533629968167,45,0
alpha,5.0,case-8254e0de-d07a-4e22-a91d-e4bc048a755d,6.49858915297335,2.08533836494634,1.03627129292458,2.08533836494634,5959.533629968167,45,0
alpha,8.0,case-ab08db57-9fec-4fdc-b44f-8a956357204f,7.03744467510677,2.47202856216779,1.04179688711945,2.47202856216779,5959.533629968167,19,0
alpha,11.0,case-73bc0346-7b3f-4668-b8a5-585a97acc336,7.51397489244929,2.87921012217842,1.05168783089623,2.87921012217842,5959.533629968167,45,0
alpha,14.0,case-a710b32f-8e5e-48c9-88ad-04f51fb02cb2,7.8889062362103,3.28298382424355,1.06383624241249,3.28298382424355,5959.533629968167,45,68
alpha,17.0,case-89e7f521-49c2-4cd4-a0e0-71ce5e976e86,8.10644076864236,3.63414213524433,1.07739020151129,3.63414213524433,5959.533629968167,45,0
alpha,20.0,case-5a6632c6-fbeb-4868-9dd6-8710ac123e83,8.20775598456571,3.93951146305051,1.08304957842393,3.93951146305051,5959.533629968167,45,121
alpha,25.0,case-a3cb9fb3-4fdd-4639-920e-3469bd544b5e,8.19153497061432,4.34576241147744,0.981105794327903,4.34576241147744,5959.533629968167,45,0
alpha,30.0,case-58e8e64e-b0d3-4f97-bfca-05e29f36fa2b,7.81931044168845,4.50369709162148,0.706201323930105,4.50369709162148,5959.533629968167,45,499
htail,-15.0,case-0ea11c6c-163f-4ace-980e-af19c510e4fb,6.91601679133059,2.50658450107954,1.51595738245428,2.50658450107954,5959.533629968167,45,0
htail,-10.0,case-14d84635-deb9-4d64-920d-7fe7305ebaf9,6.94529062605902,2.47834774153858,1.39413560993568,2.47834774153858,5959.533629968167,45,0
htail,-5.0,case-ab08db57-9fec-4fdc-b44f-8a956357204f,7.03744467510677,2.47202856216779,1.04179688711945,2.47202856216779,5959.533629968167,19,0
htail,0.0,case-7fac3815-e80d-420e-ba74-d6dd3076c338,7.15555673674218,2.48060471354223,0.608339741866798,2.48060471354223,5959.533629968167,45,0
htail,5.0,case-7fba7392-a0b0-4a71-9107-dc77b34fe7b6,7.28160137513791,2.49927128757358,0.153295865597684,2.49927128757358,5959.533629968167,45,0
htail,10.0,case-92dd9f7d-317f-47c1-bffa-82001a538a4a,7.40778222781009,2.52679929225188,-0.292296255146575,2.52679929225188,5959.533629968167,45,0
htail,15.0,case-aa1f92b0-bcbf-4f45-9603-b06ab0aaf6e7,7.53247529975856,2.56322663920823,-0.722949335259364,2.56322663920823,5959.533629968167,45,0
htail,20.0,case-05a718e7-c401-453b-b280-599b6b24ca0d,7.65274760991276,2.60765298922247,-1.1234259887579,2.60765298922247,5959.533629968167,45,0
htail,25.0,case-4aefbb5d-13a7-4372-b2ec-8b72889a74f5,7.75569126528504,2.65641721220489,-1.46470467452039,2.65641721220489,5959.533629968167,45,0
htail,30.0,case-097b2a54-c528-484c-ba5c-d4dc8f6b0347,7.69419967989916,2.67716723278406,-1.27340298682732,2.67716723278406,5959.533629968167,45,0
thrust,6.0,case-e9f0b8e4-bc99-4358-bc5b-7ce3f4b2c672,5.06340620291295,1.3819021598159,1.07428878882258,1.3819021598159,2234.8251112380412,45,0
thrust,9.0,case-c80a44d6-5591-4b77-804f-95d00e23b0dd,5.75000238160325,1.74686344977008,1.08868892900233,1.74686344977008,3352.23766685708,45,0
thrust,12.0,case-1309a972-669e-4a4b-8823-e88976c3a7e5,6.33677861675674,2.07300509572541,1.07870920395396,2.07300509572541,4469.650222476119,45,0
thrust,14.0,case-e97c3111-b7c6-4dfe-a0da-2098fd894147,6.6963155652199,2.27662653625639,1.06305419126409,2.27662653625639,5214.591926222139,45,0
thrust,16.0,case-ab08db57-9fec-4fdc-b44f-8a956357204f,7.03744467510677,2.47202856216779,1.04179688711945,2.47202856216779,5959.533629968167,19,0
thrust,18.0,case-af9cba96-aba4-4b5a-8d64-7e2900e7398f,7.36902719053766,2.66235539040243,1.01616788968477,2.66235539040243,6704.475333714177,45,0
thrust,20.0,case-455b2567-9d08-495e-8f5a-69ef2283fd73,7.69009821428158,2.84773661462158,0.986876457471596,2.84773661462158,7449.417037460225,45,0
thrust,22.0,case-90609e13-cbd5-4406-b812-1214ad247410,8.00516617933204,3.02971205649741,0.953902138334826,3.0297120564974,8194.358741206242,45,0
thrust,25.0,case-6bff176c-1157-4ffc-9687-2e47a27d7493,8.46472469387319,3.29593359644401,0.900448281576805,3.29593359644401,9311.77129682532,45,0
thrust,30.0,case-bde00f8f-f63e-46bf-974e-b32bad9eb07e,9.20196975127477,3.72269522733165,0.802186878075224,3.72269522733165,11174.125556190387,45,0
