sweep,value,case_id,CL,CD,CMy,CFx,F_AD_delivered_N,physical_step,pseudo_step
alpha,-3.0,case-7aff04d3-fc19-49b6-a8f3-f2d1343eb45f,-0.122194150219913,0.0424664805429212,0.559118766064467,0.0424664805429212,585.2087909077776,45,0
alpha,-3.0,case-d100456a-933c-4ede-b4aa-b9bda0c616d6,-0.12219414817987,0.0424664803079215,0.559118757232166,0.0424664803079215,585.2087909077776,46,0
alpha,-1.0,case-ba927ad5-86e4-48fa-9377-203cbb8670fb,0.0761910731383462,0.0403338654381634,0.48709598985619,0.0403338654381634,585.2087909077776,46,0
alpha,-1.0,case-eceb41ba-e4fe-456f-b1ba-42fc6c638258,0.0761910705365071,0.0403338655362565,0.487096000491988,0.0403338655362565,585.2087909077776,45,0
alpha,1.0,case-50ddd0d2-93fd-4d34-8c3e-7b3a702a70ef,0.274294455134632,0.0423186496827813,0.419781420650678,0.0423186496827813,585.2087909077776,46,0
alpha,1.0,case-a36844f8-a185-456d-ad98-8bbb53c4b980,0.274294452475103,0.0423186494647232,0.419781431876506,0.0423186494647232,585.2087909077776,45,0
alpha,3.0,case-13b780c9-ebd9-4755-87e7-b4322779f556,0.471594197998213,0.0482871193276997,0.348585942117177,0.0482871193276997,585.2087909077776,46,6
alpha,3.0,case-f5f5e8dc-6b45-47b7-8cd1-f4170f23700a,0.4715942171317,0.0482871168428874,0.348585929520928,0.0482871168428873,585.2087909077776,45,0
alpha,5.0,case-217b63b0-d0b2-4986-88b7-7f6f86866bd1,0.667897886338176,0.0581526321527,0.262287252166285,0.0581526321527,585.2087909077776,45,0
alpha,5.0,case-b989f09b-685d-4a21-bb62-7fc6c034a847,0.667897885979434,0.0581526319250781,0.262287254373854,0.0581526319250781,585.2087909077776,46,0
alpha,7.0,case-366b5a9a-9c31-40be-a4b7-eaa6969a8c30,0.861799764824753,0.0719325600020766,0.15501168048939,0.0719325600020766,585.2087909077776,20,26
alpha,7.0,case-8a1f4593-28f7-477e-8032-3cef337828d5,0.861809638720622,0.071931825160208,0.155007223964895,0.071931825160208,585.2087909077776,46,50
alpha,7.0,case-de8ca5d5-bda9-494d-9247-ea39e0f9c42a,0.861804321822759,0.0719324065307805,0.155008636932631,0.0719324065307805,585.2087909077776,45,0
alpha,9.0,case-034765e3-1dc2-4497-b10d-1ac76e1e7b7e,1.05147519853536,0.0896628520221144,0.0245034405818439,0.0896628520221144,585.2087909077776,45,0
alpha,9.0,case-caf66703-baf0-4bfa-8822-968f59bab386,1.05147518758914,0.0896628498222369,0.0245034582245663,0.0896628498222369,585.2087909077776,46,2
alpha,11.0,case-0c12a3ac-df79-4623-9ca8-f5daf80a0611,1.23291910277834,0.111213493383018,-0.125455882469128,0.111213493383018,585.2087909077776,45,0
alpha,11.0,case-82879549-27d4-4f27-b431-049acaf3fe21,1.23291905752158,0.111213511400379,-0.125456075352208,0.111213511400379,585.2087909077776,46,17
alpha,13.0,case-8a38c52b-8bd6-4567-9ac8-233e1214ffaf,1.39583421487421,0.136109392007965,-0.284507674223046,0.136109392007965,585.2087909077776,45,0
alpha,13.0,case-9cf4e9f1-4e41-4433-a910-b73b30732904,1.3958342132588,0.136109391915818,-0.284507674129496,0.136109391915818,585.2087909077776,46,0
alpha,15.0,case-1e639c60-0971-4cff-952a-17b7580e9f9d,1.51920101959975,0.163701639475923,-0.450377724945235,0.163701639475923,585.2087909077776,46,37
alpha,15.0,case-91d6a3af-b4af-42bc-955f-206f2f11b628,1.51920025981722,0.163701657064757,-0.450377162614951,0.163701657064756,585.2087909077776,45,0
htail,-12.0,case-5bcd5ff4-cf44-4dea-9618-c022093f05d3,0.554870287737115,0.0776994752358338,1.25246512595571,0.0776994752358338,585.2087909077776,45,0
htail,-12.0,case-d316dcde-fa4b-48f8-97ed-762524722504,0.554870287309219,0.0776994749859459,1.25246511632961,0.0776994749859459,585.2087909077776,46,0
htail,-9.0,case-41553f8a-11b6-42d4-a41d-06714abb0b0c,0.629707824397406,0.071850827100424,0.985290333787469,0.071850827100424,585.2087909077776,45,0
htail,-9.0,case-b0580382-66ad-439e-a484-645b0c616de2,0.629707819120925,0.0718508264151197,0.985290320009707,0.0718508264151196,585.2087909077776,46,0
htail,-6.0,case-ef555c8d-b5a3-4114-b79a-e52b6178910e,0.706239270257214,0.0688901413590473,0.711801208135881,0.0688901413590473,585.2087909077776,45,0
htail,-6.0,case-efb57d77-deb3-46e0-9b2e-e5f796b1bc26,0.706239244131929,0.0688901402275109,0.71180130126049,0.0688901402275109,585.2087909077776,46,0
htail,-3.0,case-49609a57-9db9-46fa-80a1-8bd045e8904a,0.78353851748586,0.0688497252972579,0.435389773479495,0.0688497252972578,585.2087909077776,46,0
htail,-3.0,case-54e66fbc-7023-430e-a370-d67477115b0a,0.783538505811112,0.0688497247834728,0.435389773625044,0.0688497247834728,585.2087909077776,45,0
htail,0.0,case-366b5a9a-9c31-40be-a4b7-eaa6969a8c30,0.861799764824753,0.0719325600020766,0.15501168048939,0.0719325600020766,585.2087909077776,20,26
htail,3.0,case-aef47789-3a6b-4d46-bad6-cc1cbae05e81,0.940706927102926,0.0781880538767647,-0.128122211636126,0.0781880538767647,585.2087909077776,45,0
htail,3.0,case-f1c6439d-c2d2-4ced-bce2-fb7566a240ef,0.940706931405818,0.0781880555871234,-0.128122217370889,0.0781880555871234,585.2087909077776,46,0
htail,6.0,case-e58b5006-626b-4f9c-9869-c0e7de3bb25f,1.01972813700822,0.0876630678215993,-0.412594701593277,0.0876630678215993,585.2087909077776,45,11
htail,6.0,case-f53a7329-344b-440a-9eda-cd6a27448487,1.01972814446763,0.0876630683677884,-0.412594717284181,0.0876630683677884,585.2087909077776,46,0
htail,9.0,case-33f24243-02d6-42c7-9e8c-51efd31efebe,1.09657084727512,0.100225812272195,-0.689995233836865,0.100225812272195,585.2087909077776,45,0
htail,9.0,case-a9120a5d-e266-4e34-9466-1774bf829a01,1.0965708471523,0.100225810666617,-0.689995229042956,0.100225810666617,585.2087909077776,46,0
htail,12.0,case-359aae70-b318-466a-84f8-648bdec4520b,1.16925777789661,0.115839241807699,-0.954196111135191,0.115839241807699,585.2087909077776,45,0
htail,12.0,case-a9ffb352-b7bb-458e-bbab-59ef6bf23cbb,1.16925778239851,0.115839241542116,-0.954196128359591,0.115839241542116,585.2087909077776,46,0
htail,15.0,case-18a4010b-ba7d-4cf9-9b2d-463c35fe5c18,1.20145543515948,0.135664742273301,-1.08081130129466,0.1356647422733,585.2087909077776,46,79
htail,15.0,case-c7118916-8398-4112-97ad-7cb7ed8bcfa9,1.20153637337558,0.135674369913104,-1.08109181658493,0.135674369913104,585.2087909077776,45,499
thrust,0.0,case-8acff0ea-7088-41b7-85d7-b8aed22ce712,0.84656846579255,0.0657865003301541,0.141140789990505,0.0657865003301541,0.058520879090783025,45,0
thrust,0.0,case-afa73547-61b1-434c-85e6-0235fca4b355,0.846568465204275,0.0657865003437451,0.141140790146617,0.065786500343745,0.058520879090783025,46,0
thrust,0.25,case-3c34d273-1ce1-42a5-be77-7c0c321e055d,0.850656611929035,0.0673317940150445,0.144691182073409,0.0673317940150445,146.30219772691058,45,0
thrust,0.25,case-8a79ec09-40ff-455d-903d-995e681c49bb,0.850656583340949,0.0673317918809267,0.144691212711674,0.0673317918809267,146.30219772691058,46,5
thrust,0.5,case-8ed9795c-02db-480d-8f36-19d4e5c72e4d,0.854547531487353,0.0688723710474783,0.148163730423583,0.0688723710474783,292.60439545387527,46,0
thrust,0.5,case-ca822bc8-77bb-49dd-b9c1-c8f61a5cf953,0.854547531410443,0.0688723708336054,0.148163728585249,0.0688723708336054,292.60439545387527,45,0
thrust,0.75,case-6e664c58-de60-4df7-8a0a-43af30e39e79,0.858265861061183,0.0704064655763626,0.15158652334585,0.0704064655763626,438.90659318083095,45,0
thrust,0.75,case-96fbb413-7ea5-499c-86da-47b0b32c16c4,0.858265864290919,0.0704064655874371,0.151586519263869,0.0704064655874371,438.90659318083095,46,0
thrust,1.0,case-366b5a9a-9c31-40be-a4b7-eaa6969a8c30,0.861799764824753,0.0719325600020766,0.15501168048939,0.0719325600020766,585.2087909077776,20,26
thrust,1.25,case-d34b4c57-0dd8-44d0-8b3b-25a0172f42d2,0.865222948266016,0.0734504083028522,0.158420221849159,0.0734504083028522,731.5109886347243,45,0
thrust,1.25,case-da6ebef7-d0ec-486b-a369-ebbf60db23fa,0.865222950308304,0.0734504080561196,0.158420218062692,0.0734504080561196,731.5109886347243,46,0
thrust,1.5,case-24dfcae2-8048-45a7-aeed-a091922dfe9d,0.868510193058259,0.0749617551773148,0.161834685047648,0.0749617551773148,877.8131863616981,45,0
thrust,1.5,case-f2064930-d833-4197-be95-9f1bc8f53aca,0.86851019664018,0.0749617552837582,0.161834682976042,0.0749617552837582,877.8131863616981,46,0
thrust,2.0,case-410aba99-6138-4765-9be7-4184b9306899,0.874706919874973,0.0779601274580506,0.1687299014615,0.0779601274580506,1170.4175818156186,46,0
thrust,2.0,case-cd08297f-9419-4ac1-80eb-67a828a93861,0.874706920493264,0.0779601275709032,0.168729900459051,0.0779601275709032,1170.4175818156186,45,0
thrust,2.5,case-23f5bd2c-0ae4-4cc2-8041-5a7e11a2a724,0.880456236630889,0.0809243057562857,0.175743171355514,0.0809243057562857,1463.021977269521,45,0
