phase,alpha,T_mult,theta_ht,CL,CD,CT_del,V_m_s,V_kt,gamma_deg,F_thrust_N,T_over_L,V_b,alpha_b,theta_ht_b,T_b,note
cruise,5.0,1.0,2.7453147594270115,0.7352846784115974,0.0682011821359411,0.04301534844575057,49.0296237839387,95.31419864684818,-2.398858606680094,585.2034647900533,0.05061211855716284,45.72,7.0,0.0,1.0,
cruise,5.0,2.0,2.852419894616913,0.7510278569464378,0.07446047333644708,0.08603001207003669,48.42668964493209,94.14208717910594,0.1459122334033947,1170.3976129080759,0.10109332175034053,45.72,7.0,0.0,1.0,
cruise,5.0,3.0,2.9595250298068145,0.7667710354812782,0.08071976453695306,0.1290446756943228,47.792988558737974,92.91016438323868,2.720486801754856,1755.591761026098,0.15178697336281508,45.72,7.0,0.0,1.0,
cruise,7.0,1.0,1.6899421049430476,0.9036382419174415,0.07558342249201054,0.04301534844575057,44.19557262521042,85.91674305056458,-1.882986716873488,585.2034647900533,0.05064908163859106,45.72,7.0,0.0,1.0,
cruise,7.0,2.0,1.7970472401329491,0.9193814204522819,0.0818427136925165,0.08603001207003669,43.68953030805607,84.93299049000015,0.7181027760196249,1170.3976129080759,0.1013181803713952,45.72,7.0,0.0,1.0,
cruise,7.0,3.0,1.9041523753228504,0.9351245989871223,0.08810200489302249,0.1290446756943228,43.14895824565364,83.8821116750654,3.345681903857215,1755.591761026098,0.15236995886217639,45.72,7.0,0.0,1.0,
cruise,9.0,1.0,0.6345694504590838,1.0719918054232855,0.08296566284807996,0.04301534844575057,40.545006024598,78.81999615979394,-1.5342943431392615,585.2034647900533,0.0507051488064759,45.72,7.0,0.0,1.0,
cruise,9.0,2.0,0.7416745856489853,1.0877349839581258,0.08922495404858594,0.08603001207003669,40.09310246408433,77.94149001571606,1.1025153188907368,1170.3976129080759,0.10159203048989528,45.72,7.0,0.0,1.0,
cruise,9.0,3.0,0.8487797208388868,1.1034781624929664,0.09548424524909191,0.1290446756943228,39.60557520548952,76.99373095934978,3.76385538251171,1755.591761026098,0.15303929413088838,45.72,7.0,0.0,1.0,
takeoff,6.0,10.0,-3.5585133985041217,3.3259131343129216,1.0393628062919935,1.7663125805274509,22.719979085561036,44.167922017031565,1.0523014287091195,3724.633735074084,0.315807479667739,18.0,8.0,-5.0,16.0,
takeoff,6.0,20.0,-1.89449396018439,4.180516009433942,1.6165616732190953,3.53262516105493,19.421593147483094,37.75581871594692,17.30393794781017,7449.267470148228,0.6669340014149291,18.0,8.0,-5.0,16.0,
