sweep,value,case_id,CL,CD,CMy,CFx,F_AD_delivered_N,physical_step,pseudo_step
alpha,-2.0,case-5f5490d0-1c74-4301-8920-4b54d31cb6eb,3.80590898874959,2.32800799556487,3.49627339055765,2.32800799556487,4467.505984435925,45,499
alpha,2.0,case-df7009bc-b8ad-423e-9429-f756feda5b61,4.76751522887066,2.78963715702779,2.95307861136581,2.78963715702779,4467.505984435925,45,499
alpha,5.0,case-55f630c7-4cc3-4821-83bd-80e5b25562d4,5.40116490097424,3.18024512111375,2.58259285588464,3.18024512111375,4467.505984435925,45,499
alpha,8.0,case-3fe6a528-9151-4337-8ece-8f0862fee1bf,5.95619555791455,3.59908968440911,2.24203493421382,3.59908968440911,4467.505984435925,19,999
alpha,11.0,case-c5f9115b-3864-41ca-a8f1-e8a18b3c664b,6.43194430374041,4.03487624222846,1.93173776079332,4.03487624222846,4467.505984435925,45,499
alpha,14.0,case-578c6bbe-9409-4e78-8bd9-639c2463b6f1,6.71720606032023,4.3753426410048,1.75082961382242,4.3753426410048,4467.505984435925,45,499
alpha,17.0,case-7959cdcb-391c-4cb4-a996-5587f3b2a456,7.05066754651163,4.75411437243497,1.42021230958328,4.75411437243497,4467.505984435925,45,0
alpha,20.0,case-28d4c720-439d-48e0-b825-e84ba25c264b,7.254327315537,5.13634245469388,1.15681759256948,5.13634245469388,4467.505984435925,45,499
alpha,25.0,case-cfbd760f-be3a-4fcc-9236-3d08845bc101,7.51007382639139,5.66471850779314,0.548277612594939,5.66471850779314,4467.505984435925,45,499
alpha,30.0,case-bbed7b66-439c-49dc-ac03-5953c6829b5f,7.62548254626171,6.0652637521205,-0.200119515789943,6.0652637521205,4467.505984435925,45,499
htail,-10.0,case-f139e998-4ef4-41b1-8a1c-c0010ad5fa31,5.64778292323505,3.61659117170258,3.30847986393184,3.61659117170258,4467.505984435925,45,499
htail,-6.0,case-3fe6a528-9151-4337-8ece-8f0862fee1bf,5.95619555791455,3.59908968440911,2.24203493421382,3.59908968440911,4467.505984435925,19,999
htail,0.0,case-5fa3694f-f115-4370-8884-7ffa6c88cbb7,6.39253682933999,3.60358133268059,0.714337781460704,3.60358133268058,4467.505984435925,45,499
htail,10.0,case-066b5a38-bdec-4484-bfa8-5687936aa990,7.11882867844766,3.7183270044698,-1.76716611304047,3.7183270044698,4467.505984435925,45,499
htail,15.0,case-05f60a35-e602-4319-8c9e-7a41f711747b,7.45888322674083,3.81348748605304,-2.93251077948862,3.81348748605304,4467.505984435925,45,499
htail,20.0,case-17200e86-ad13-4e16-ad09-34ce7ea92e49,7.78972950670811,3.94861863540296,-4.05639665761776,3.94861863540296,4467.505984435925,45,499
htail,25.0,case-21dc5427-1194-4111-8f50-1f06a07a7b9c,7.73970153938259,4.08871174451191,-4.01972197609664,4.08871174451191,4467.505984435925,45,499
htail,30.0,case-3c8b0490-9964-43b2-9067-36ce346530cd,7.67151963588285,4.19402439060595,-3.87223226245503,4.19402439060595,4467.505984435925,45,499
htail,35.0,case-3002f51c-1fc1-4b35-a719-813c23668a0c,7.52385732179517,4.30533380122793,-3.4327123535974,4.30533380122793,4467.505984435925,45,499
htail,40.0,case-3fdb810b-5c36-4109-9059-cc5bf8d65811,7.46056825754315,4.43252010503325,-3.29563453426388,4.43252010503325,4467.505984435925,45,499
htail,50.0,case-85084e71-1699-4c6d-b405-7baeb29ba53a,7.30180603995545,4.60732424993664,-2.84989753383665,4.60732424993664,4467.505984435925,45,499
thrust,4.0,case-3c29121c-ba62-4592-a457-41ef67cd2ce3,4.25987094345755,1.84238859353095,0.889465497621014,1.84238859353095,1489.1686614785933,45,499
thrust,7.0,case-6d06890d-7ff0-429d-921f-24a367863bb4,4.99681695743075,2.57071493538532,1.43034877892389,2.57071493538532,2606.0451575875945,45,499
thrust,10.0,case-ba81cd17-11c8-479c-b770-37c75fea5819,5.59620592267076,3.20233043514196,1.91718833953976,3.20233043514196,3722.921653696587,45,499
thrust,12.0,case-3fe6a528-9151-4337-8ece-8f0862fee1bf,5.95619555791455,3.59908968440911,2.24203493421382,3.59908968440911,4467.505984435925,19,999
thrust,14.0,case-015af534-4949-4f0d-8c06-cceff0d5f56e,6.29662838875181,3.96846417054562,2.52805834669153,3.96846417054562,5212.090315175254,45,499
thrust,16.0,case-2608c011-4946-4dbd-860b-b9dbc1c7a2a6,6.63833331676566,4.33496870337255,2.78221038744787,4.33496870337255,5956.6746459145625,45,499
thrust,18.0,case-084b908f-1496-4311-9caf-d7c04ec7dc42,6.96899831999672,4.68944389843592,3.0356456275365,4.68944389843592,6701.2589766538995,45,499
thrust,21.0,case-42b05377-3870-48ec-8ffd-701d9b72dafb,7.42280150166327,5.1966922791434,3.47382177119416,5.1966922791434,7818.135472762883,45,499
thrust,25.0,case-ea37d9bf-6b61-4eda-876e-913e770bf24e,8.0007297494667,5.8381080437048,4.09021046406223,5.8381080437048,9307.304134241575,45,499
thrust,30.0,case-286e6a4a-40a6-4e21-97cc-758f03d82469,8.71885681015925,6.62649615907885,4.77771249482555,6.62649615907885,11168.764961089879,45,499
