sweep,value,case_id,CL,CD,CMy,CFx,F_AD_delivered_N,physical_step,pseudo_step
alpha,-2.0,case-524515e5-afac-4140-85d0-93bebe1a74a8,1.75009586724057,0.860743366279763,2.20131680142779,0.860743366279763,9371.031367601561,46,7
alpha,-2.0,case-c3dbc5fa-97b8-415d-afb7-325b453e99ab,1.75009617262238,0.860743410046802,2.20131667419681,0.860743410046802,9371.031367601561,45,0
alpha,2.0,case-14a3a5ef-bd76-4ae5-b44e-28a57c497ebf,2.73984068655153,1.07810290451547,1.61093201832314,1.07810290451547,9371.031367601561,45,499
alpha,2.0,case-af0962a4-712c-4225-a347-97f1bec4d798,2.73969198079953,1.07800103727631,1.6109182189185,1.07800103727631,9371.031367601561,46,79
alpha,5.0,case-4b5ccb4f-7089-4eae-bba0-8498c47c1285,3.44607524835019,1.28151883275018,1.10177671337594,1.28151883275018,9371.031367601561,45,499
alpha,5.0,case-d298b6da-003f-4f35-b61a-70723fdd614c,3.44604133808364,1.28147104144162,1.10193223048157,1.28147104144162,9371.031367601561,46,79
alpha,8.0,case-b88ddf5c-6bd8-4077-9f53-f2c8b2409234,4.13575844668974,1.52131250953147,0.515302664261906,1.52131250953147,9371.031367601561,20,79
alpha,11.0,case-b6dbb922-64fe-45d3-a600-2d3e681b19c3,4.76569661002882,1.79632428707073,0.0190207036669365,1.79632428707073,9371.031367601561,46,79
alpha,11.0,case-d0370129-bfad-4e88-896d-0b66c6c33645,4.76567962343877,1.79632434379809,0.0190313339071985,1.79632434379809,9371.031367601561,45,0
alpha,14.0,case-63727644-0705-4423-8091-2f1756e697a8,5.26788835007216,2.09891070347621,-0.15689543604745,2.09891070347621,9371.031367601561,46,0
alpha,14.0,case-e11eb9d3-d6ec-4a21-bb73-5d1f479c3902,5.26788834942348,2.09891070349894,-0.15689543504451,2.09891070349894,9371.031367601561,45,0
alpha,17.0,case-4f6773dc-8a9f-436b-9d01-f333bb271881,5.71227728194234,2.41851686553672,-0.28603122646926,2.41851686553672,9371.031367601561,46,1
alpha,17.0,case-e82614bd-0353-41eb-84c2-d80ab09ddc2a,5.71227728398837,2.41851686508949,-0.286031229999472,2.41851686508949,9371.031367601561,45,0
alpha,20.0,case-1636a6fd-8394-47f4-8820-7a6e963a2e4e,6.08150101447377,2.74541104847161,-0.343474760368246,2.74541104847161,9371.031367601561,45,120
alpha,20.0,case-5d392e33-0cf6-445d-80ed-e78ad440e88a,6.08155297828374,2.7454080503179,-0.343490865151149,2.7454080503179,9371.031367601561,46,79
alpha,25.0,case-4d9a0415-4800-48a8-908e-5f6a5fb261d4,6.59162880698003,3.28439383983853,-0.665889470207529,3.28439383983853,9371.031367601561,46,79
alpha,25.0,case-560edce3-85a0-4b01-9042-f5004c8c193c,6.59157897982403,3.28439678683315,-0.665851463263827,3.28439678683315,9371.031367601561,45,0
alpha,30.0,case-442b5ade-881f-4bc6-9c3e-6d6cfc0a88ba,6.76196466558901,3.70106096870303,-0.993619665578411,3.70106096870303,9371.031367601561,46,79
alpha,30.0,case-57ed7d37-45de-4466-8fc5-2d9dd9a305cd,6.7619825232036,3.70107417319663,-0.99364596219708,3.70107417319662,9371.031367601561,45,0
htail,-15.0,case-169891c9-409b-47b4-93dc-8ce9f92aa911,3.40636131944932,1.56919448598698,3.00621808491212,1.56919448598698,9371.031367601561,46,0
htail,-15.0,case-30e1f679-a60e-4f58-8c99-f31707c968a8,3.40636131986521,1.56919448564222,3.00621808074497,1.56919448564222,9371.031367601561,45,0
htail,-10.0,case-0e52e183-f7b6-4feb-829f-980e66466be5,3.77522222221535,1.53010199313405,1.74715755790692,1.53010199313405,9371.031367601561,45,0
htail,-10.0,case-3a1ea284-d5b6-4d6a-b2f8-579eb8470fc4,3.77522222115723,1.53010199343637,1.7471575617172,1.53010199343637,9371.031367601561,46,0
htail,-5.0,case-b88ddf5c-6bd8-4077-9f53-f2c8b2409234,4.13575844668974,1.52131250953147,0.515302664261906,1.52131250953147,9371.031367601561,20,79
htail,0.0,case-c67e22a7-d55f-4ce4-875c-411cb098c5a8,4.4853233725503,1.54074733470667,-0.673335716533848,1.54074733470667,9371.031367601561,46,0
htail,0.0,case-e499c529-5e24-49d8-9754-cf2bd5b4300c,4.48532337455618,1.54074733456201,-0.673335717654914,1.54074733456201,9371.031367601561,45,0
htail,5.0,case-d1ff95e0-de05-463f-8ebf-acfeabb5d50f,4.82030108690078,1.58465895578324,-1.81438407467625,1.58465895578324,9371.031367601561,46,0
htail,5.0,case-f2cc7fe4-69fa-403a-8b28-d2b36bd41151,4.82030108811168,1.58465895462284,-1.81438407304941,1.58465895462284,9371.031367601561,45,0
htail,10.0,case-321dd987-dcd7-4dfd-9248-1e711cb96076,5.11967762340772,1.64960329652204,-2.84056447145444,1.64960329652204,9371.031367601561,45,0
htail,10.0,case-d62df162-f267-467c-9b91-cdb63472ef75,5.11971445523512,1.64960874621027,-2.84055264333906,1.64960874621027,9371.031367601561,46,79
htail,15.0,case-b28fb6c3-726e-49ef-90ad-b5d4e5544004,5.29978320996679,1.74108481915042,-3.49119724946206,1.74108481915042,9371.031367601561,45,0
htail,15.0,case-d8b49143-b4c9-44fe-a218-e2187ac482d6,5.29983120028347,1.74108194099446,-3.49127938275998,1.74108194099446,9371.031367601561,46,79
htail,20.0,case-1219b980-56be-4b08-9610-06a44e18f812,5.32565749545423,1.83570838689136,-3.6239086526946,1.83570838689136,9371.031367601561,46,0
htail,20.0,case-8a04b65b-b705-408e-b85d-5e0bac4b9cad,5.32565750575008,1.83570838827571,-3.6239086897435,1.83570838827571,9371.031367601561,45,100
htail,25.0,case-2e347f15-e634-4aaf-b88a-51071cb3c360,5.286383710846,1.91948201153452,-3.53216856182145,1.91948201153452,9371.031367601561,46,0
htail,25.0,case-ebf507fa-f31e-4e8c-acb3-1ee9d343c670,5.28638372979837,1.91948200911268,-3.53216862254471,1.91948200911268,9371.031367601561,45,0
htail,30.0,case-e6f37cae-742f-4bbb-bb18-e901c5426d1a,5.14410809299458,2.00242053315305,-3.10677675920653,2.00242053315305,9371.031367601561,46,79
htail,30.0,case-f2df28dd-2a2c-4b9e-91b0-ee99c9ad2af2,5.14398868401132,2.0023425576583,-3.10628258744679,2.0023425576583,9371.031367601561,45,499
thrust,6.0,case-7ebcfffe-262c-4e79-be6d-5b758a0d168f,3.18844350910906,0.872971813510175,0.104147257944987,0.872971813510175,3514.136762850553,46,79
thrust,6.0,case-a828403d-5768-4ffa-8f22-78659bf6610c,3.1884421841099,0.872971713943319,0.104152460941786,0.872971713943319,3514.136762850553,45,0
thrust,9.0,case-ddeff3e3-0e2b-4994-94d1-4826a7886c9f,3.5409131936871,1.0879420001445,0.168209709118696,1.0879420001445,5271.205144275866,45,0
thrust,9.0,case-fe2c4eec-2fd9-4515-b82c-5ca812a6af30,3.54091319179056,1.08794199903454,0.168209706918787,1.08794199903454,5271.205144275866,46,0
thrust,12.0,case-11c4c21f-7352-4bff-ae45-64098b11b8b5,3.82240344103411,1.28286206145407,0.29142375037132,1.28286206145407,7028.27352570115,46,0
thrust,12.0,case-a61730f4-acc5-410c-afe5-f04b53d3fa5b,3.82240344045002,1.2828620608635,0.291423751045623,1.2828620608635,7028.27352570115,45,0
thrust,14.0,case-efd92a1b-09ab-4bd7-b821-7f07fa559b1d,3.98542004988828,1.40467731424347,0.399478499761935,1.40467731424347,8199.652446651347,45,0
thrust,14.0,case-f2c0127a-fa92-46bc-a26c-62607346df4b,3.98542005259709,1.40467731552142,0.399478497129255,1.40467731552142,8199.652446651347,46,0
thrust,16.0,case-b88ddf5c-6bd8-4077-9f53-f2c8b2409234,4.13575844668974,1.52131250953147,0.515302664261906,1.52131250953147,9371.031367601561,20,79
thrust,18.0,case-79b45131-115a-4335-94ae-ee798417b6c4,4.2783584910054,1.63402756431785,0.634271152562021,1.63402756431785,10542.410288551773,46,79
thrust,18.0,case-89c39a57-1183-4470-afb1-874939a11378,4.2782956857514,1.63402072937798,0.634313017301265,1.63402072937798,10542.410288551773,45,0
thrust,20.0,case-3ba92dbb-84d7-4c5d-b633-f8b9b284b07f,4.41312893519287,1.74343751014561,0.756717405309551,1.74343751014561,11713.789209501943,46,79
thrust,20.0,case-aa02778c-2e20-472c-af9f-1337d671c015,4.41307562048172,1.743429969697,0.75674499621946,1.743429969697,11713.789209501943,45,0
thrust,22.0,case-4f68c442-2a48-4ef3-9875-391c805ffd7b,4.54122898275034,1.8500733540333,0.883283824249509,1.8500733540333,12885.168130452143,45,0
thrust,22.0,case-c8e8ea3a-d375-4359-994c-616056a57cc7,4.54127765866945,1.85007951594753,0.883247735372378,1.85007951594753,12885.168130452143,46,79
thrust,25.0,case-4ac1ebb9-39b0-4850-920c-f45709a0230a,4.72052302524514,2.00561790779651,1.08723855222031,2.00561790779651,14642.23651187754,45,0
thrust,25.0,case-ad5d6fae-b9f5-4604-bd32-bbda92ed05a0,4.72060994059835,2.00563226184901,1.08719940853253,2.00563226184901,14642.23651187754,46,79
thrust,30.0,case-0f4ccfbd-c610-4c95-bde5-3bc390b9060a,5.00196322353711,2.2538965372037,1.42832524135639,2.2538965372037,17570.683814253036,46,79
thrust,30.0,case-f6878e39-d065-48f7-a7b2-cb326e63c3fc,5.00188927196284,2.25388511695302,1.42837414259971,2.25388511695302,17570.683814253036,45,0
