sweep,value,case_id,CL,CD,CMy,CFx,F_AD_delivered_N,physical_step,pseudo_step
alpha,-2.0,case-ae99a95d-5b69-4f28-931f-3afe0824b98b,4.44616510283217,2.19321337465589,1.17741869794142,2.19321337465589,7024.188242553022,45,499
alpha,2.0,case-dd641b7a-411b-4dd2-9c5e-74ab3ed6732a,5.27672945347693,2.70123417578824,1.10889780544613,2.70123417578824,7024.188242553022,45,499
alpha,5.0,case-34741da9-7f2a-429f-9615-52b6994000e2,5.83726817544215,3.12916341807398,1.05403333454427,3.12916341807398,7024.188242553022,45,499
alpha,5.0,case-4c2dafbd-3a33-49ee-9634-4572d370a9ed,5.84173559744217,3.13294730625827,1.0537078476509,3.13294730625827,7024.188242553022,46,79
alpha,5.0,case-d875ae85-77c4-4e8d-b1a5-0ed291db5703,5.84173560391525,3.13294734003805,1.05370786380268,3.13294734003805,7024.188242553022,46,79
alpha,8.0,case-8ef11bc2-c83c-4f18-a80a-0dcd075d2aec,6.30373779751537,3.56751668834636,1.01290865633635,3.56751668834636,7024.188242553022,19,999
alpha,11.0,case-4beae36a-b408-4693-8f81-7daec9b9cac3,6.71696174110853,4.03465399842118,0.993794191198851,4.03465399842118,7024.188242553022,45,499
alpha,14.0,case-607d4c29-0c19-42b9-9580-d669194e8553,7.01157304249103,4.45490357291013,0.989085911145432,4.45490357291013,7024.188242553022,45,499
alpha,17.0,case-9795cca7-dc28-4925-a418-47e0c8aa8824,7.19218052921014,4.78554556188071,0.985007408445322,4.78554556188071,7024.188242553022,46,79
alpha,17.0,case-b90bb1c7-499d-40ca-b9f9-2c62793f972e,7.19218032614625,4.78554522601622,0.985007683488768,4.78554522601622,7024.188242553022,46,79
alpha,17.0,case-df5ec973-caed-44b7-ada5-ddb71d9570a6,7.18796999564497,4.78193630100326,0.985571119569552,4.78193630100326,7024.188242553022,45,499
alpha,20.0,case-aee4716b-6a24-48d0-8721-f2052e2e6580,7.36466787367534,5.1767292270312,0.965369644573978,5.1767292270312,7024.188242553022,45,499
alpha,25.0,case-b75e885b-0793-4caa-a5b0-ffcca8cadfc5,7.50317289570576,5.70417612300516,0.832120409710522,5.70417612300516,7024.188242553022,45,499
alpha,30.0,case-0d4bdf9a-f8b4-4a92-80c5-1af22f32089a,7.43000493379064,6.00659098208933,0.668973863330638,6.00659098208933,7024.188242553022,45,499
htail,-10.0,case-d7d3e82e-312e-4893-881e-ecf7ecc771ef,6.22072836999416,3.57675694289667,1.36870931562745,3.57675694289667,7024.188242553022,45,499
htail,-6.0,case-8ef11bc2-c83c-4f18-a80a-0dcd075d2aec,6.30373779751537,3.56751668834636,1.01290865633635,3.56751668834636,7024.188242553022,19,999
htail,0.0,case-e82bf784-44bd-4941-a87b-1f960b9e8eb3,6.45549106060888,3.57732869297275,0.453824404545249,3.57732869297275,7024.188242553022,45,499
htail,10.0,case-fc7c9b2b-ee67-4885-a7a7-34880c6c2f00,6.69985251038822,3.61963892256082,-0.436325889026867,3.61963892256082,7024.188242553022,45,499
htail,15.0,case-eda9e8de-907f-46c4-abcb-ac2ee47144b4,6.81805481795001,3.65589594256221,-0.83039369975086,3.65589594256221,7024.188242553022,45,499
htail,20.0,case-11c47e09-ac36-4293-af1b-2c7de9e287d0,6.87648671838794,3.6897149400498,-1.03489446902361,3.6897149400498,7024.188242553022,45,499
htail,25.0,case-60d98b9b-56ee-4d76-a4fd-140155888557,6.81094646826917,3.71367290650848,-0.815221340968417,3.71367290650848,7024.188242553022,45,499
htail,30.0,case-f3f866c0-5c27-4e12-9cd9-ef0730b5753f,6.76312129985053,3.72537711736023,-0.723671525999947,3.72537711736023,7024.188242553022,45,499
htail,35.0,case-8482bcab-365f-4e32-b381-076614925972,6.764146848843,3.77169818321156,-0.696740093907647,3.77169818321156,7024.188242553022,45,499
htail,40.0,case-2feb071c-78d0-4a0c-a94a-c5191e12e442,6.74047137333733,3.79932697868329,-0.659305555638828,3.79932697868329,7024.188242553022,45,499
htail,50.0,case-ba7c1699-89e3-4ad5-8e30-1887f71bb0f1,6.68566397051523,3.85439345645098,-0.558421900142867,3.85439345645098,7024.188242553022,45,499
thrust,4.0,case-955e577d-115b-4dd1-a920-ffdd656a640b,4.24762924382536,1.82445032989215,0.982546701327218,1.82445032989215,2341.3960808509555,45,499
thrust,7.0,case-d1e71993-93a6-44f7-8eb7-68a22416fb9d,5.11891929075879,2.54535341836965,1.03244919677252,2.54535341836965,4097.4431414892315,45,499
thrust,10.0,case-997365ab-7e08-4aae-8e68-69a1336acde2,5.85507034612384,3.17727015794341,1.0279604850007,3.17727015794341,5853.490202127509,45,499
thrust,12.0,case-8ef11bc2-c83c-4f18-a80a-0dcd075d2aec,6.30373779751537,3.56751668834636,1.01290865633635,3.56751668834636,7024.188242553022,19,999
thrust,14.0,case-137f22fd-4099-457e-9169-58557cc3ccd9,6.73456030322617,3.94128733811068,0.992643313641635,3.94128733811068,8194.886282978507,45,499
thrust,16.0,case-b7ebf06b-3a80-497d-a91d-c717429863c5,7.14591948063449,4.30128149881995,0.969684848333988,4.30128149881995,9365.584323404033,45,499
thrust,18.0,case-defd3762-9b43-4eb7-9a8a-412c2b919605,7.56252985874169,4.66958489697927,0.950969448365441,4.66958489697927,10536.282363829534,45,499
thrust,21.0,case-ddc7afc8-4962-4d7e-80b2-8bc180dacf26,8.15470962941147,5.17938733375594,0.914319029729656,5.17938733375594,12292.329424467809,45,499
thrust,25.0,case-e7df6177-d72e-4499-9560-eed1a1da383c,8.90735496542407,5.83227648689656,0.869286873624388,5.83227648689656,14633.725505318907,45,499
thrust,30.0,case-c595be61-561f-44c1-ab29-7568e4d473be,9.82056489364213,6.61293574773557,0.800945418521384,6.61293574773557,17560.470606382685,45,499
