sweep,value,case_id,CL,CD,CMy,CFx,F_AD_delivered_N,physical_step,pseudo_step
alpha,-2.0,case-690cb152-a79c-44f8-bcb5-695f7b45ac4e,2.10458004873825,0.764878413734275,0.882509792425974,0.764878413734275,5960.33482503642,45,0
alpha,2.0,case-ea15693b-aa83-4c4e-b51d-4e3801c8dc89,2.96941221836563,1.02063879138042,0.761055000634436,1.02063879138042,5960.33482503642,45,499
alpha,5.0,case-a5013953-c10e-4829-b648-e0225f01a0b5,3.55309462177119,1.24447829769369,0.697996060380159,1.24447829769369,5960.33482503641,45,499
alpha,8.0,case-0ec31ee6-64cc-4b5c-8311-9618dab7783c,3.93495479492874,1.3942324451099,0.60389479507528,1.3942324451099,5500.5681228722015,25,0
alpha,11.0,case-67b7331a-a180-4c0b-bd2d-c5d05b2ba9ba,4.60714698399698,1.76116243718022,0.576342553041861,1.76116243718022,5960.33482503642,45,0
alpha,14.0,case-f5d466e1-6070-44a6-9a47-a77dedb196ff,5.07872869408279,2.05814093236432,0.511917414223956,2.05814093236432,5960.33482503642,45,0
alpha,17.0,case-3512f816-6bbc-4986-a02d-7c6dadc731d7,5.50409635649303,2.37391489948785,0.447311338286593,2.37391489948785,5960.33482503642,45,0
alpha,20.0,case-de743262-8cb1-4581-90e5-b63689fe295a,5.87317986597488,2.69839094904593,0.386645877892719,2.69839094904593,5960.33482503642,45,0
alpha,25.0,case-a1ae6bdf-e77a-4f9e-8fe2-a73cb747e2a4,6.32053281144254,3.21332769256523,0.272195340475437,3.21332769256523,5960.33482503642,45,0
alpha,30.0,case-234f53f7-5cd1-4288-a3ab-033966c66a12,6.48870444263208,3.62804269134119,0.0711623225527937,3.62804269134119,5960.33482503642,45,0
htail,-15.0,case-a1b219e1-bdf0-478b-8d35-45eb7502ed1e,3.85646158590593,1.50114922004455,1.55826037346148,1.50114922004455,5960.33482503642,45,0
htail,-10.0,case-20066d39-0937-493a-944b-e113f5a17b74,3.96955382218707,1.49232415082663,1.12199172520796,1.49232415082663,5960.33482503642,45,0
htail,-5.0,case-0ec31ee6-64cc-4b5c-8311-9618dab7783c,3.93495479492874,1.3942324451099,0.60389479507528,1.3942324451099,5500.5681228722015,25,0
htail,0.0,case-19142bb7-f42e-4db6-8f99-d6270307c6bc,4.22778328068362,1.49998118643001,0.152578448611626,1.49998118643001,5960.33482503642,45,0
htail,5.0,case-8840a215-7bb0-46dd-a791-7fd88840e0ba,4.3554225142974,1.51596145013671,-0.313484282952687,1.51596145013671,5960.33482503642,45,0
htail,10.0,case-45f9ff08-96a1-4283-885d-1f59a1c54cd1,4.47850727618262,1.53967726711737,-0.754071869996797,1.53967726711737,5960.33482503642,45,0
htail,15.0,case-8988e1bf-e134-401f-b471-b2ac367b9a65,4.58548284221086,1.56906824847688,-1.13009887635234,1.56906824847688,5960.33482503642,45,0
htail,20.0,case-ccc8ecca-35ce-42d4-9b47-3e098db3d43e,4.56726090080579,1.59813325012508,-1.06851856669038,1.59813325012508,5960.33482503642,45,0
htail,25.0,case-47db472b-0e3f-4f51-a308-3795c0ba3c11,4.51203175858933,1.62114275400795,-0.893016719818476,1.62114275400795,5960.33482503642,45,0
htail,30.0,case-aa7cd5e2-fb3a-442f-9aab-1863ec171b64,4.49540668915091,1.65373367521555,-0.848386063593229,1.65373367521555,5960.33482503642,45,0
thrust,6.0,case-c10a7cb2-bcb7-45b4-87f6-1299f4663ecd,3.04168491731097,0.856990402509739,0.634226673256296,0.856990402509739,2235.1255593886276,45,0
thrust,9.0,case-bf4ecdeb-a958-40b5-a737-ff471767a3df,3.40598912340364,1.06703204632636,0.648932576328225,1.06703204632636,3352.6883390829644,45,0
thrust,12.0,case-18bee796-6347-4608-91df-658d43a5d7f4,3.72084689595626,1.25694019205735,0.647904039114459,1.25694019205735,4470.251118777301,45,0
thrust,14.0,case-60c1b45d-fa92-4491-92b7-3e53a030ff2e,3.9137107480924,1.37717245193599,0.643179965381587,1.37717245193599,5215.292971906855,45,0
thrust,16.0,case-0ec31ee6-64cc-4b5c-8311-9618dab7783c,3.93495479492874,1.3942324451099,0.60389479507528,1.3942324451099,5500.5681228722015,25,0
thrust,18.0,case-d36fc4c5-d1d9-4940-97e7-619ac7ce230f,4.27534564890053,1.60314888238492,0.6251572188173,1.60314888238492,6705.376678165974,45,0
thrust,20.0,case-784f9fe4-c18c-4509-a3bc-5f644700fd5e,4.44687200458698,1.71117757961932,0.613646758304237,1.71117757961932,7450.418531295538,45,0
thrust,22.0,case-576e7666-6268-4acc-8a58-e4c30d193f37,4.61350110798494,1.81663532418415,0.600686729276473,1.81663532418415,8195.460384425092,45,0
thrust,25.0,case-05ee5a5a-e22b-48e6-b53b-e4df8fc5c963,4.85528202513865,1.9703051263738,0.579122967053801,1.9703051263738,9313.023164119466,45,0
thrust,30.0,case-2097bf40-6201-422d-9c32-d0feb583c370,5.24159575150898,2.21568712112218,0.539467631100827,2.21568712112218,11175.627796943365,45,0
