sweep,value,case_id,CL,CD,CMy,CFx,F_AD_delivered_N,physical_step,pseudo_step
alpha,3.0,case-793f6817-6096-47a5-9079-ba03b16c63db,0.501578545507221,0.0509113282952159,0.150040909576076,0.0509113282952159,1172.764058590593,45,0
alpha,5.0,case-7de5bf91-d9f6-453b-afa6-178440502889,0.704648438560254,0.0628026625577036,0.134127538894112,0.0628026625577036,1172.764058590593,45,0
alpha,7.0,case-c2a3c45c-4691-480c-b030-cd39bfc8fc7c,0.905085225215162,0.0787546538730587,0.110480393271009,0.0787546538730587,1172.764058590593,19,0
alpha,9.0,case-60d42bc7-6753-41c8-a2d3-d49c4ce66801,1.09993303804662,0.0987171232025733,0.0776863236080538,0.0987171232025733,1172.764058590593,45,0
alpha,11.0,case-c3bdad05-4ded-4628-bff4-db1f0f99f3fc,1.28682599808786,0.122861178892073,0.032087777312106,0.122861178892073,1172.764058590593,45,0
alpha,13.0,case-49d90bfd-cb3e-48e3-8387-7385147d12be,1.46356347927576,0.151586487298155,-0.0315437538623452,0.151586487298155,1172.764058590593,45,0
alpha,15.0,case-711730e9-cf5c-4107-b4de-6f803b7fd7f6,1.60271371551824,0.183556212779775,-0.103997116084572,0.183556212779775,1172.764058590593,45,0
htail,-13.0,case-6c441c44-d04a-4c09-ad00-e3b019c58f6e,0.479902780311468,0.0838812822568626,0.732334533851267,0.0838812822568626,1172.764058590593,45,0
htail,-8.0,case-99d21dfe-e4da-4967-9e59-1321ed168562,0.619475018417701,0.0737243507954316,0.526935396767269,0.0737243507954315,1172.764058590593,45,0
htail,-3.0,case-8fe0d099-dd9a-4e3d-b7d5-e23b5083d9fa,0.761049455047047,0.071917555935767,0.319935388060113,0.071917555935767,1172.764058590593,45,0
htail,2.0,case-c2a3c45c-4691-480c-b030-cd39bfc8fc7c,0.905085225215162,0.0787546538730587,0.110480393271009,0.0787546538730587,1172.764058590593,19,0
htail,7.0,case-67d3f433-be3f-4e43-a833-15b8e9df8b47,1.05110899141928,0.09465123099116,-0.101849014434813,0.0946512309911599,1172.764058590593,45,0
htail,12.0,case-bdcdeabe-e475-45cb-969c-56fcd45de0eb,1.19431426031281,0.119710178074382,-0.310206505238293,0.119710178074382,1172.764058590593,45,0
htail,17.0,case-ff3319d2-59e3-4c36-ac0e-b943efc30a73,1.31756145333264,0.153517275264485,-0.494503860325995,0.153517275264485,1172.764058590593,45,0
thrust,0.54,case-ebc23bc4-c3d8-40d1-9a9f-6f8245e623b8,0.888830050849419,0.0700462598458073,0.0957872374644971,0.0700462598458072,293.19101464760763,45,0
thrust,1.08,case-bcacb9aa-6a0f-427e-8ca3-6e63525331ff,0.8948314486991,0.0729895952047978,0.100739496500302,0.0729895952047978,586.3820292952514,45,0
thrust,1.63,case-8963104c-ec32-4463-a92a-7d1ed70a90fa,0.900221155603105,0.0758940824283569,0.105624692321777,0.0758940824283569,879.5730439429403,45,0
thrust,2.17,case-c2a3c45c-4691-480c-b030-cd39bfc8fc7c,0.905085225215162,0.0787546538730587,0.110480393271009,0.0787546538730587,1172.764058590593,19,0
thrust,2.71,case-5a7eac0a-87d7-4be2-a419-2fd1ec4f2ae2,0.909542754155299,0.0815701101612122,0.115312518057102,0.0815701101612122,1465.955073238264,45,0
thrust,3.25,case-89c21b98-ac35-4a46-bb77-ea8cd946678e,0.913592735760618,0.0843467190086397,0.120138898222508,0.0843467190086397,1759.1460878859261,45,0
thrust,4.34,case-01f67e27-812e-4868-968f-3c66a994cf53,0.920680858373983,0.0897767870158454,0.129785599906693,0.0897767870158454,2345.52811718125,45,0
thrust,5.42,case-617a0995-e217-4d1f-bdcd-9264d4ec49d1,0.926571899457318,0.0950446859961629,0.139399266334521,0.0950446859961629,2931.9101464765736,45,0
