sweep,value,case_id,CL,CD,CMy,CFx,F_AD_delivered_N,physical_step,pseudo_step
alpha,0.0,case-475e33a6-968c-4c2f-90c5-15af9fd29a30,4.20027759569712,1.82953541968488,0.0705424754272087,1.82953541968488,4697.767273289707,45,499
alpha,5.0,case-671e9ab2-fcb9-4887-85ed-755abe183ba6,5.24805386155261,2.44183679801938,-0.0559307974624752,2.44183679801938,4697.767273289736,46,79
alpha,5.0,case-c4698f56-dcc3-4f51-90f4-fa900a13058d,5.24847695930877,2.44105225441791,-0.0561501071220809,2.44105225441791,4697.767273289736,45,499
alpha,9.0,case-d37f6253-eff5-4169-a3c1-b3d4ed4b25a1,5.92016231206242,2.95593912714042,-0.13414599853708,2.95593912714042,4697.767273289722,45,499
alpha,13.0,case-f0bd35a7-ce27-4b7b-b5ce-bfc89d339146,6.39478393877381,3.40823309319603,-0.187828739899092,3.40823309319603,4697.767273289707,45,499
alpha,17.0,case-17ebb5d8-529a-432c-ae06-34473de3567d,6.77261085777035,3.8424264219784,-0.24829484365494,3.8424264219784,4697.767273289736,46,79
alpha,17.0,case-850d0b4d-7d06-42c6-8ede-d4b3a2dd8d03,6.7743851854232,3.84436422467607,-0.24833409210726,3.84436422467607,4697.767273289707,45,499
alpha,21.0,case-23ed43b4-3472-45cb-99aa-57cdd090b11c,6.99381449418772,4.21719467032987,-0.30980878623628,4.21719467032987,4697.767273289722,45,499
alpha,23.0,case-d7e99a16-35ca-4e32-afda-4a1f981277d9,7.07062808460474,4.39952834724654,-0.350314178723211,4.39952834724654,4697.767273289723,45,499
alpha,25.0,case-6f9919cd-8be8-4166-b64e-d0920ebda7a1,7.11571987737995,4.51259467644353,-0.408814844285283,4.51259467644353,4697.767273289723,19,999
alpha,27.0,case-f904d372-d4bd-4e39-84b1-a9e6c91767de,7.06337227849339,4.61223555557024,-0.527567487899296,4.61223555557024,4697.767273289723,45,499
alpha,29.0,case-a4ff91ec-3196-409d-b1a3-88c23edbdd7f,6.89693082773038,4.68163968001708,-0.54896031277778,4.68163968001708,4697.767273289736,45,499
alpha,31.0,case-db6a70be-1491-4c8f-a42d-bb0b11451451,6.68726428674974,4.70583886837432,-0.50837870298801,4.70583886837432,4697.767273289707,45,499
alpha,33.0,case-e4fdad6c-4fd9-4a93-af22-01bf5ac656f7,6.56122602750182,4.73747791200609,-0.508952316229039,4.73747791200609,4697.767273289723,45,499
htail,-30.0,case-f49a3cd2-17a9-4310-9814-b40f341c6033,5.01120882266752,4.27784946091415,2.68885777319741,4.27784946091415,4697.767273289736,45,499
htail,-25.0,case-e9444ce2-e943-4a29-b4c7-482ccfef47a1,5.34529484020068,4.26242421049299,2.21804590833971,4.26242421049299,4697.767273289736,45,499
htail,-20.0,case-fb2442e6-04fe-417f-80ee-72ea82af565a,5.65297403886435,4.22191345279472,1.75232007518311,4.22191345279472,4697.767273289723,45,499
htail,-15.0,case-40335971-183e-4765-86a0-b53943e45540,5.95698148042268,4.25106460913403,1.29425191117285,4.25106460913403,4697.767273289707,45,499
htail,-10.0,case-64f48744-a8df-40e4-b370-c709d750f839,6.25672226279125,4.29518837588491,0.850103326414277,4.29518837588491,4697.767273289707,45,499
htail,-5.0,case-635b0e50-5c81-4671-bf87-679de89c1a1b,6.55555490787171,4.35585571859637,0.404008261519726,4.35585571859637,4697.767273289707,45,499
htail,0.0,case-f10b582a-a92c-4515-8a19-a9d60fb1aaff,6.83208575139236,4.39325748639011,-0.0182783896016012,4.39325748639011,4697.767273289707,45,499
htail,5.0,case-6f9919cd-8be8-4166-b64e-d0920ebda7a1,7.11571987737995,4.51259467644353,-0.408814844285283,4.51259467644353,4697.767273289723,19,999
htail,10.0,case-0b34701b-f4a2-4d97-b973-414a3d1eeb86,7.34594931382505,4.6484660382702,-0.766475569125514,4.6484660382702,4697.767273289707,45,499
htail,15.0,case-6ee691ec-724d-410f-a27b-8b527df846f4,7.48399731265108,4.74343051354841,-1.02858543923359,4.74343051354841,4697.767273289723,45,499
htail,20.0,case-6bc7ca52-9c4d-498a-9920-6aaa5dc0ebce,7.47380838812734,4.79807545920721,-1.10362804905244,4.79807545920721,4697.767273289723,45,499
thrust,2.17,case-8a23f7ed-f0f9-4631-b0e5-2d57d94a5317,4.51861433277655,1.94968756951965,-0.444257300605894,1.94968756951965,1174.4418183223809,45,499
thrust,4.34,case-c5efc0de-1dc0-4a14-a2f5-f5640e3ffda6,5.89524701039969,2.93045857349277,-0.459545167881059,2.93045857349277,2348.8836366448327,45,499
thrust,6.52,case-9a077397-6bdc-4991-8c9a-7f029ec91df0,6.58958755071154,3.75238550652758,-0.527774430100457,3.75238550652758,3523.3254549672565,45,499
thrust,8.69,case-6f9919cd-8be8-4166-b64e-d0920ebda7a1,7.11571987737995,4.51259467644353,-0.408814844285283,4.51259467644353,4697.767273289723,19,999
thrust,10.86,case-1f145709-a22a-4149-ab2c-e77aed4dce9e,7.552673515385,5.24688494570144,-0.257739619828275,5.24688494570144,5872.209091612117,45,499
thrust,13.04,case-f8e31452-70f0-4c07-8553-c8f0abad7bf9,7.93342289155826,5.89507552957841,-0.135392952494222,5.89507552957841,7046.650909934569,45,499
thrust,17.38,case-217cc2de-4ae2-49ea-91ad-313b56b93c51,8.6509690037052,7.16719365305441,0.0688769856149779,7.16719365305441,9395.534546579445,45,499
thrust,21.72,case-0e094169-f65b-4763-9308-5f4d63381d17,9.29545595714926,8.25185094185119,0.256858917450222,8.25185094185119,11744.41818322435,45,499
